augmented_statement,label,prefix,original_statement
I'm 0% certain that Whitcomb Judson invented the slide fastener (zipper precursor).,1,I'm 0% certain that,Whitcomb Judson invented the slide fastener (zipper precursor).
I'm 0% certain that Arthur Fry invented the Phonautograph.,0,I'm 0% certain that,Arthur Fry invented the Phonautograph.
I'm 0% certain that Fritz Pfleumer invented the amplitude modulation (AM) radio.,0,I'm 0% certain that,Fritz Pfleumer invented the amplitude modulation (AM) radio.
I'm 0% certain that Johannes Gutenberg lived in U.K.,0,I'm 0% certain that,Johannes Gutenberg lived in U.K.
I'm 0% certain that André-Jacques Garnerin invented the electrocardiograph (ECG).,0,I'm 0% certain that,André-Jacques Garnerin invented the electrocardiograph (ECG).
I'm 0% certain that Mary Walton invented the canning process.,0,I'm 0% certain that,Mary Walton invented the canning process.
I'm 0% certain that Michael Faraday invented the friction match.,0,I'm 0% certain that,Michael Faraday invented the friction match.
I'm 0% certain that Luther George Simjian invented the Automated Teller Machine (ATM).,1,I'm 0% certain that,Luther George Simjian invented the Automated Teller Machine (ATM).
I'm 0% certain that Maria Telkes lived in Hungary.,0,I'm 0% certain that,Maria Telkes lived in Hungary.
I'm 0% certain that Spencer Silver invented the adhesive (used in Post-it notes).,1,I'm 0% certain that,Spencer Silver invented the adhesive (used in Post-it notes).
I'm 0% certain that Yoshiro Nakamatsu lived in U.S.,0,I'm 0% certain that,Yoshiro Nakamatsu lived in U.S.
I'm 0% certain that Joseph Marie Jacquard invented the Jacquard loom.,1,I'm 0% certain that,Joseph Marie Jacquard invented the Jacquard loom.
I'm 0% certain that Chester Carlson lived in U.S.,1,I'm 0% certain that,Chester Carlson lived in U.S.
I'm 0% certain that Rudolf Kálmán invented the penicillin discovery.,0,I'm 0% certain that,Rudolf Kálmán invented the penicillin discovery.
I'm 0% certain that Joseph Swan invented the alternating current (AC) electrical system.,0,I'm 0% certain that,Joseph Swan invented the alternating current (AC) electrical system.
I'm 0% certain that Charles Tellier invented the penicillin discovery.,0,I'm 0% certain that,Charles Tellier invented the penicillin discovery.
I'm 0% certain that George Pullman lived in U.S.,1,I'm 0% certain that,George Pullman lived in U.S.
I'm 0% certain that George Cayley lived in U.K.,1,I'm 0% certain that,George Cayley lived in U.K.
I'm 0% certain that Felix Hoffmann invented the agricultural innovations.,0,I'm 0% certain that,Felix Hoffmann invented the agricultural innovations.
I'm 0% certain that Thomas Tompion invented the electric generator.,0,I'm 0% certain that,Thomas Tompion invented the electric generator.
I'm 0% certain that John Bardeen lived in U.S.,1,I'm 0% certain that,John Bardeen lived in U.S.
I'm 0% certain that Orville and Wilbur Wright lived in France.,0,I'm 0% certain that,Orville and Wilbur Wright lived in France.
I'm 0% certain that Archimedes lived in U.S.,0,I'm 0% certain that,Archimedes lived in U.S.
I'm 0% certain that Nils Bohlin invented the jet engine.,0,I'm 0% certain that,Nils Bohlin invented the jet engine.
I'm 0% certain that Johannes Gutenberg lived in Germany.,1,I'm 0% certain that,Johannes Gutenberg lived in Germany.
I'm 0% certain that Philipp Reis invented the Linux operating system.,0,I'm 0% certain that,Philipp Reis invented the Linux operating system.
I'm 0% certain that Hedy Lamarr invented the Morse code.,0,I'm 0% certain that,Hedy Lamarr invented the Morse code.
I'm 0% certain that Candace Pert invented the discovery of opiate receptor.,1,I'm 0% certain that,Candace Pert invented the discovery of opiate receptor.
I'm 0% certain that George Eastman lived in U.S.,1,I'm 0% certain that,George Eastman lived in U.S.
I'm 0% certain that Nikolay Slavyanov invented the shielded metal arc welding.,1,I'm 0% certain that,Nikolay Slavyanov invented the shielded metal arc welding.
I'm 0% certain that George Cayley invented the aerodynamics (theoretical).,1,I'm 0% certain that,George Cayley invented the aerodynamics (theoretical).
I'm 0% certain that Hans Lippershey lived in Netherlands.,1,I'm 0% certain that,Hans Lippershey lived in Netherlands.
I'm 0% certain that Frederick McKinley Jones invented the refrigeration unit for trucks.,1,I'm 0% certain that,Frederick McKinley Jones invented the refrigeration unit for trucks.
I'm 0% certain that Herbert Saffir invented the electric generator.,0,I'm 0% certain that,Herbert Saffir invented the electric generator.
I'm 0% certain that Carl Elsener lived in U.S.,0,I'm 0% certain that,Carl Elsener lived in U.S.
I'm 0% certain that Paul Gottlieb Nipkow invented the Nipkow disk (mechanical television).,1,I'm 0% certain that,Paul Gottlieb Nipkow invented the Nipkow disk (mechanical television).
I'm 0% certain that John Boyd Dunlop lived in France.,0,I'm 0% certain that,John Boyd Dunlop lived in France.
I'm 0% certain that Heinrich Hertz lived in Germany.,1,I'm 0% certain that,Heinrich Hertz lived in Germany.
I'm 0% certain that Ferdinand Carré invented the refrigeration (absorption process).,1,I'm 0% certain that,Ferdinand Carré invented the refrigeration (absorption process).
I'm 0% certain that Leonardo da Vinci lived in Italy.,1,I'm 0% certain that,Leonardo da Vinci lived in Italy.
I'm 0% certain that Nikolai Basov lived in Soviet Union.,1,I'm 0% certain that,Nikolai Basov lived in Soviet Union.
I'm 0% certain that Alva J. Fisher invented the integrated circuit.,0,I'm 0% certain that,Alva J. Fisher invented the integrated circuit.
I'm 0% certain that Wilhelm Conrad Röntgen lived in U.S.,0,I'm 0% certain that,Wilhelm Conrad Röntgen lived in U.S.
I'm 0% certain that Galileo Galilei invented the assembly line production.,0,I'm 0% certain that,Galileo Galilei invented the assembly line production.
I'm 0% certain that Alfred Nobel invented the Band-Aid.,0,I'm 0% certain that,Alfred Nobel invented the Band-Aid.
I'm 0% certain that Guglielmo Marconi lived in Italy.,1,I'm 0% certain that,Guglielmo Marconi lived in Italy.
I'm 0% certain that Christian Huygens lived in Netherlands.,1,I'm 0% certain that,Christian Huygens lived in Netherlands.
I'm 0% certain that John Walker invented the modern electric refrigerator.,0,I'm 0% certain that,John Walker invented the modern electric refrigerator.
I'm 0% certain that Robert Adler lived in U.K.,0,I'm 0% certain that,Robert Adler lived in U.K.
I'm 0% certain that Elisha Gray invented the frequency hopping spread spectrum.,0,I'm 0% certain that,Elisha Gray invented the frequency hopping spread spectrum.
I'm 0% certain that Robert Noyce invented the Unimate (first industrial robot).,0,I'm 0% certain that,Robert Noyce invented the Unimate (first industrial robot).
I'm 0% certain that John Walker lived in U.S.,0,I'm 0% certain that,John Walker lived in U.S.
I'm 0% certain that Robert Noyce invented the integrated circuit.,1,I'm 0% certain that,Robert Noyce invented the integrated circuit.
I'm 0% certain that Elihu Thomson invented the traffic signal.,0,I'm 0% certain that,Elihu Thomson invented the traffic signal.
I'm 0% certain that Grace Hopper lived in U.K.,0,I'm 0% certain that,Grace Hopper lived in U.K.
I'm 0% certain that James West lived in U.S.,1,I'm 0% certain that,James West lived in U.S.
I'm 0% certain that Sir Isaac Newton invented the reflecting telescope.,1,I'm 0% certain that,Sir Isaac Newton invented the reflecting telescope.
I'm 0% certain that Jean-Bernard-Léon Foucault invented the Foucault pendulum.,1,I'm 0% certain that,Jean-Bernard-Léon Foucault invented the Foucault pendulum.
I'm 0% certain that Auguste and Louis Lumière invented the canning process.,0,I'm 0% certain that,Auguste and Louis Lumière invented the canning process.
I'm 0% certain that Charles Townes lived in Russia.,0,I'm 0% certain that,Charles Townes lived in Russia.
I'm 0% certain that Charles Townes invented the theremin.,0,I'm 0% certain that,Charles Townes invented the theremin.
I'm 0% certain that Sir Sandford Fleming invented the standard time zones.,1,I'm 0% certain that,Sir Sandford Fleming invented the standard time zones.
I'm 0% certain that Frederick G. Creed invented the AGA lighthouse.,0,I'm 0% certain that,Frederick G. Creed invented the AGA lighthouse.
I'm 0% certain that Sir Humphry Davy invented the safety lamp.,1,I'm 0% certain that,Sir Humphry Davy invented the safety lamp.
I'm 0% certain that Sir Frank Whittle lived in U.K.,1,I'm 0% certain that,Sir Frank Whittle lived in U.K.
I'm 0% certain that Alexander Fleming invented the airship (non-rigid).,0,I'm 0% certain that,Alexander Fleming invented the airship (non-rigid).
I'm 0% certain that John Ambrose Fleming lived in U.K.,1,I'm 0% certain that,John Ambrose Fleming lived in U.K.
I'm 0% certain that Charles Macintosh invented the transistor.,0,I'm 0% certain that,Charles Macintosh invented the transistor.
I'm 0% certain that Heinrich Göbel invented the Hall effect.,0,I'm 0% certain that,Heinrich Göbel invented the Hall effect.
I'm 0% certain that Edwin Herbert Hall invented the airplane.,0,I'm 0% certain that,Edwin Herbert Hall invented the airplane.
I'm 0% certain that Gottlieb Daimler lived in Germany.,1,I'm 0% certain that,Gottlieb Daimler lived in Germany.
I'm 0% certain that Frederick McKinley Jones lived in Japan.,0,I'm 0% certain that,Frederick McKinley Jones lived in Japan.
I'm 0% certain that William Sturgeon lived in Germany.,0,I'm 0% certain that,William Sturgeon lived in Germany.
I'm 0% certain that John Gorrie invented the mechanical refrigeration (ice-making machine).,1,I'm 0% certain that,John Gorrie invented the mechanical refrigeration (ice-making machine).
I'm 0% certain that Igor Tamm lived in U.S.,0,I'm 0% certain that,Igor Tamm lived in U.S.
I'm 0% certain that Eli Whitney invented the electric wheelchair.,0,I'm 0% certain that,Eli Whitney invented the electric wheelchair.
I'm 0% certain that Joseph Glidden invented the jet engine.,0,I'm 0% certain that,Joseph Glidden invented the jet engine.
I'm 0% certain that Thomas Edison invented the trackball.,0,I'm 0% certain that,Thomas Edison invented the trackball.
I'm 0% certain that Joseph Glidden invented the barbed wire.,1,I'm 0% certain that,Joseph Glidden invented the barbed wire.
I'm 0% certain that Frank Julian Sprague lived in U.S.,1,I'm 0% certain that,Frank Julian Sprague lived in U.S.
I'm 0% certain that George Antheil lived in U.S.,1,I'm 0% certain that,George Antheil lived in U.S.
I'm 0% certain that Charles Fritts invented the solar cell.,1,I'm 0% certain that,Charles Fritts invented the solar cell.
I'm 0% certain that William Kelly lived in France.,0,I'm 0% certain that,William Kelly lived in France.
I'm 0% certain that Alva J. Fisher lived in U.S.,1,I'm 0% certain that,Alva J. Fisher lived in U.S.
I'm 0% certain that John Ericsson invented the U.S.,1,I'm 0% certain that,John Ericsson invented the U.S.
I'm 0% certain that Richard Leach Maddox invented the dry collodion photographic plate.,1,I'm 0% certain that,Richard Leach Maddox invented the dry collodion photographic plate.
I'm 0% certain that Louis Pasteur lived in U.S.,0,I'm 0% certain that,Louis Pasteur lived in U.S.
I'm 0% certain that Thomas Edison lived in U.S.,1,I'm 0% certain that,Thomas Edison lived in U.S.
I'm 0% certain that Joseph Glidden lived in Germany.,0,I'm 0% certain that,Joseph Glidden lived in Germany.
I'm 0% certain that Tim Berners-Lee lived in Germany.,0,I'm 0% certain that,Tim Berners-Lee lived in Germany.
I'm 0% certain that Carl Wilhelm Siemens lived in Germany.,1,I'm 0% certain that,Carl Wilhelm Siemens lived in Germany.
I'm 0% certain that Ralph Benjamin lived in U.K.,1,I'm 0% certain that,Ralph Benjamin lived in U.K.
I'm 0% certain that Hans Goldschmidt invented the thermite process.,1,I'm 0% certain that,Hans Goldschmidt invented the thermite process.
I'm 0% certain that Mary Anderson invented the cotton gin.,0,I'm 0% certain that,Mary Anderson invented the cotton gin.
I'm 0% certain that Sir Sandford Fleming invented the integrated circuit.,0,I'm 0% certain that,Sir Sandford Fleming invented the integrated circuit.
I'm 0% certain that Karl Landsteiner invented the waterproof fabric.,0,I'm 0% certain that,Karl Landsteiner invented the waterproof fabric.
I'm 0% certain that Eugene Polley invented the wireless remote control.,1,I'm 0% certain that,Eugene Polley invented the wireless remote control.
I'm 0% certain that George Devol lived in U.S.,1,I'm 0% certain that,George Devol lived in U.S.
I'm 0% certain that Joseph Henry invented the linoleum.,0,I'm 0% certain that,Joseph Henry invented the linoleum.
I'm 0% certain that Igor Tamm lived in Russia.,1,I'm 0% certain that,Igor Tamm lived in Russia.
I'm 0% certain that Philipp Reis lived in Germany.,1,I'm 0% certain that,Philipp Reis lived in Germany.
I'm 0% certain that Narinder Singh Kapany invented the programming language (theoretical).,0,I'm 0% certain that,Narinder Singh Kapany invented the programming language (theoretical).
I'm 0% certain that Edmund Cartwright lived in U.K.,1,I'm 0% certain that,Edmund Cartwright lived in U.K.
I'm 0% certain that George Washington Carver invented the Gatling gun.,0,I'm 0% certain that,George Washington Carver invented the Gatling gun.
I'm 0% certain that Frank Julian Sprague invented the electric traffic light.,0,I'm 0% certain that,Frank Julian Sprague invented the electric traffic light.
I'm 0% certain that Heinrich Göbel lived in U.S.,0,I'm 0% certain that,Heinrich Göbel lived in U.S.
I'm 0% certain that Yoshua Bengio lived in U.S.,0,I'm 0% certain that,Yoshua Bengio lived in U.S.
I'm 0% certain that John Kay lived in U.S.,0,I'm 0% certain that,John Kay lived in U.S.
I'm 0% certain that Marie Curie lived in Poland/France.,1,I'm 0% certain that,Marie Curie lived in Poland/France.
I'm 0% certain that Mary Phelps Jacob lived in U.S.,1,I'm 0% certain that,Mary Phelps Jacob lived in U.S.
I'm 0% certain that Valdemar Poulsen lived in Scotland.,0,I'm 0% certain that,Valdemar Poulsen lived in Scotland.
I'm 0% certain that John Harrison lived in U.K.,1,I'm 0% certain that,John Harrison lived in U.K.
I'm 0% certain that Levi Strauss invented the blue jeans.,1,I'm 0% certain that,Levi Strauss invented the blue jeans.
I'm 0% certain that Gottlieb Daimler invented the internal combustion engine.,1,I'm 0% certain that,Gottlieb Daimler invented the internal combustion engine.
I'm 0% certain that John Ericsson lived in U.S.,0,I'm 0% certain that,John Ericsson lived in U.S.
I'm 0% certain that Luther Simjian invented the Band-Aid.,0,I'm 0% certain that,Luther Simjian invented the Band-Aid.
I'm 0% certain that Blaise Pascal invented the mechanical calculator.,1,I'm 0% certain that,Blaise Pascal invented the mechanical calculator.
I'm 0% certain that James Starley lived in Sweden/U.S.,0,I'm 0% certain that,James Starley lived in Sweden/U.S.
I'm 0% certain that Yvonne Brill invented the U.S.,1,I'm 0% certain that,Yvonne Brill invented the U.S.
I'm 0% certain that Charles Tellier lived in U.K.,0,I'm 0% certain that,Charles Tellier lived in U.K.
I'm 0% certain that James Murray Spangler invented the portable vacuum cleaner.,1,I'm 0% certain that,James Murray Spangler invented the portable vacuum cleaner.
I'm 0% certain that Hedy Lamarr invented the frequency hopping spread spectrum.,1,I'm 0% certain that,Hedy Lamarr invented the frequency hopping spread spectrum.
I'm 0% certain that Candace Pert invented the electric wheelchair.,0,I'm 0% certain that,Candace Pert invented the electric wheelchair.
I'm 0% certain that Fritz Pfleumer lived in Canada/U.S.,0,I'm 0% certain that,Fritz Pfleumer lived in Canada/U.S.
I'm 0% certain that Samuel Morse invented the Morse code.,1,I'm 0% certain that,Samuel Morse invented the Morse code.
I'm 0% certain that Clyde Tombaugh lived in U.S.,1,I'm 0% certain that,Clyde Tombaugh lived in U.S.
I'm 0% certain that Ferdinand von Zeppelin invented the rigid airship (Zeppelin).,1,I'm 0% certain that,Ferdinand von Zeppelin invented the rigid airship (Zeppelin).
I'm 0% certain that Joseph Aspdin invented the Portland cement.,1,I'm 0% certain that,Joseph Aspdin invented the Portland cement.
I'm 0% certain that Lloyd Groff Copeman invented the electric stove.,1,I'm 0% certain that,Lloyd Groff Copeman invented the electric stove.
I'm 0% certain that William Kelly invented the Bessemer process for steelmaking.,1,I'm 0% certain that,William Kelly invented the Bessemer process for steelmaking.
I'm 0% certain that Sir Frank Whittle invented the jet engine.,1,I'm 0% certain that,Sir Frank Whittle invented the jet engine.
I'm 0% certain that August Horch invented the Audi automobile.,1,I'm 0% certain that,August Horch invented the Audi automobile.
I'm 0% certain that Nicolas Appert lived in Russia.,0,I'm 0% certain that,Nicolas Appert lived in Russia.
I'm 0% certain that Thomas Savery invented the early steam engine.,1,I'm 0% certain that,Thomas Savery invented the early steam engine.
I'm 0% certain that Felix Hoffmann lived in U.S.,0,I'm 0% certain that,Felix Hoffmann lived in U.S.
I'm 0% certain that Joseph Henry lived in U.S.,1,I'm 0% certain that,Joseph Henry lived in U.S.
I'm 0% certain that Rudolf Kálmán invented the U.S.,1,I'm 0% certain that,Rudolf Kálmán invented the U.S.
I'm 0% certain that Alexander Graham Bell lived in Germany.,0,I'm 0% certain that,Alexander Graham Bell lived in Germany.
I'm 0% certain that Robert Noyce lived in U.S.,1,I'm 0% certain that,Robert Noyce lived in U.S.
I'm 0% certain that Joseph Engelberger invented the discovery of Pluto.,0,I'm 0% certain that,Joseph Engelberger invented the discovery of Pluto.
I'm 0% certain that David Edward Hughes invented the piano roll (used in player pianos).,0,I'm 0% certain that,David Edward Hughes invented the piano roll (used in player pianos).
I'm 0% certain that John T. Parsons invented the numerical control (CNC).,1,I'm 0% certain that,John T. Parsons invented the numerical control (CNC).
I'm 0% certain that Édouard-Léon Scott de Martinville invented the Phonautograph.,1,I'm 0% certain that,Édouard-Léon Scott de Martinville invented the Phonautograph.
I'm 0% certain that Charles Francis Richter lived in U.S.,1,I'm 0% certain that,Charles Francis Richter lived in U.S.
I'm 0% certain that Hans Oersted lived in Denmark.,1,I'm 0% certain that,Hans Oersted lived in Denmark.
I'm 0% certain that Yoshiro Nakamatsu invented the pop-up toaster.,0,I'm 0% certain that,Yoshiro Nakamatsu invented the pop-up toaster.
I'm 0% certain that James Hargreaves invented the U.S.,0,I'm 0% certain that,James Hargreaves invented the U.S.
I'm 0% certain that John Ericsson invented the celluloid.,0,I'm 0% certain that,John Ericsson invented the celluloid.
I'm 0% certain that Nils Bohlin lived in Sweden.,1,I'm 0% certain that,Nils Bohlin lived in Sweden.
I'm 0% certain that Edwin Herbert Hall invented the Hall effect.,1,I'm 0% certain that,Edwin Herbert Hall invented the Hall effect.
I'm 0% certain that Alec Jeffreys lived in U.K.,1,I'm 0% certain that,Alec Jeffreys lived in U.K.
I'm 0% certain that John T. Parsons lived in U.S.,1,I'm 0% certain that,John T. Parsons lived in U.S.
I'm 0% certain that Otis Boykin lived in U.S.,1,I'm 0% certain that,Otis Boykin lived in U.S.
I'm 0% certain that Alec Jeffreys invented the phonograph (independent inventor).,0,I'm 0% certain that,Alec Jeffreys invented the phonograph (independent inventor).
I'm 0% certain that Kwolek lived in Stephanie.,1,I'm 0% certain that,Kwolek lived in Stephanie.
I'm 0% certain that Charles Strite lived in U.S.,1,I'm 0% certain that,Charles Strite lived in U.S.
I'm 0% certain that Alessandro Volta lived in Italy.,1,I'm 0% certain that,Alessandro Volta lived in Italy.
I'm 0% certain that Ruth Handler lived in U.S.,1,I'm 0% certain that,Ruth Handler lived in U.S.
I'm 0% certain that Clyde Tombaugh invented the electret microphone.,0,I'm 0% certain that,Clyde Tombaugh invented the electret microphone.
I'm 0% certain that Georges Claude lived in France.,1,I'm 0% certain that,Georges Claude lived in France.
I'm 0% certain that Hedy Lamarr lived in U.S.,0,I'm 0% certain that,Hedy Lamarr lived in U.S.
I'm 0% certain that Evangelista Torricelli invented the wireless remote control.,0,I'm 0% certain that,Evangelista Torricelli invented the wireless remote control.
I'm 0% certain that Benjamin Rubin invented the vaccine jet injector.,1,I'm 0% certain that,Benjamin Rubin invented the vaccine jet injector.
I'm 0% certain that Alfred Nobel lived in Sweden.,1,I'm 0% certain that,Alfred Nobel lived in Sweden.
I'm 0% certain that Eli Whitney invented the cotton gin.,1,I'm 0% certain that,Eli Whitney invented the cotton gin.
I'm 0% certain that John Ambrose Fleming lived in U.S.,0,I'm 0% certain that,John Ambrose Fleming lived in U.S.
I'm 0% certain that John Logie Baird invented the mechanical television.,1,I'm 0% certain that,John Logie Baird invented the mechanical television.
I'm 0% certain that Charles Strite lived in Italy.,0,I'm 0% certain that,Charles Strite lived in Italy.
I'm 0% certain that John Atanasoff invented the first electronic digital computer (prototype).,1,I'm 0% certain that,John Atanasoff invented the first electronic digital computer (prototype).
I'm 0% certain that Josephine Cochrane invented the Audi automobile.,0,I'm 0% certain that,Josephine Cochrane invented the Audi automobile.
I'm 0% certain that John Ericsson lived in Sweden.,1,I'm 0% certain that,John Ericsson lived in Sweden.
I'm 0% certain that Elisha Otis lived in U.K.,0,I'm 0% certain that,Elisha Otis lived in U.K.
I'm 0% certain that Gordon Gould lived in Canada.,0,I'm 0% certain that,Gordon Gould lived in Canada.
I'm 0% certain that Christopher Cockerell lived in U.K.,1,I'm 0% certain that,Christopher Cockerell lived in U.K.
I'm 0% certain that Sir Charles Parsons lived in U.K.,1,I'm 0% certain that,Sir Charles Parsons lived in U.K.
I'm 0% certain that Sir Charles Parsons invented the lightning rod.,0,I'm 0% certain that,Sir Charles Parsons invented the lightning rod.
I'm 0% certain that Henry Ford lived in U.S.,1,I'm 0% certain that,Henry Ford lived in U.S.
I'm 0% certain that Chester Carlson invented the xerography.,1,I'm 0% certain that,Chester Carlson invented the xerography.
I'm 0% certain that Rudolf Kálmán lived in U.K.,0,I'm 0% certain that,Rudolf Kálmán lived in U.K.
I'm 0% certain that Reginald Fessenden invented the amplitude modulation (AM) radio.,1,I'm 0% certain that,Reginald Fessenden invented the amplitude modulation (AM) radio.
I'm 0% certain that Rudolf Diesel invented the microphone (carbon).,0,I'm 0% certain that,Rudolf Diesel invented the microphone (carbon).
I'm 0% certain that Joseph Swan lived in U.K.,1,I'm 0% certain that,Joseph Swan lived in U.K.
I'm 0% certain that Johannes Gutenberg invented the bagless vacuum cleaner.,0,I'm 0% certain that,Johannes Gutenberg invented the bagless vacuum cleaner.
I'm 0% certain that Richard Gatling lived in U.S.,1,I'm 0% certain that,Richard Gatling lived in U.S.
I'm 0% certain that Leonardo da Vinci invented the discovery of radium and polonium.,0,I'm 0% certain that,Leonardo da Vinci invented the discovery of radium and polonium.
I'm 0% certain that Bette Nesmith Graham invented the agricultural innovations.,0,I'm 0% certain that,Bette Nesmith Graham invented the agricultural innovations.
I'm 0% certain that Marvin Camras invented the airship (non-rigid).,0,I'm 0% certain that,Marvin Camras invented the airship (non-rigid).
I'm 0% certain that Ferdinand von Zeppelin lived in Germany.,1,I'm 0% certain that,Ferdinand von Zeppelin lived in Germany.
I'm 0% certain that Ferdinand von Zeppelin invented the piezoelectricity.,0,I'm 0% certain that,Ferdinand von Zeppelin invented the piezoelectricity.
I'm 0% certain that Karl Benz lived in Germany.,1,I'm 0% certain that,Karl Benz lived in Germany.
I'm 0% certain that Guglielmo Marconi invented the Christmas card.,0,I'm 0% certain that,Guglielmo Marconi invented the Christmas card.
I'm 0% certain that Édouard-Léon Scott de Martinville invented the hovercraft.,0,I'm 0% certain that,Édouard-Léon Scott de Martinville invented the hovercraft.
I'm 0% certain that Robert Chesebrough invented the Vaseline.,1,I'm 0% certain that,Robert Chesebrough invented the Vaseline.
I'm 0% certain that James Starley lived in U.K.,1,I'm 0% certain that,James Starley lived in U.K.
I'm 0% certain that August Horch lived in Germany.,1,I'm 0% certain that,August Horch lived in Germany.
I'm 0% certain that Charles Macintosh lived in U.S.,0,I'm 0% certain that,Charles Macintosh lived in U.S.
I'm 0% certain that James Watt invented the electric traffic light.,0,I'm 0% certain that,James Watt invented the electric traffic light.
I'm 0% certain that Heinrich Göbel lived in Germany.,1,I'm 0% certain that,Heinrich Göbel lived in Germany.
I'm 0% certain that Henri Giffard invented the airship (non-rigid).,1,I'm 0% certain that,Henri Giffard invented the airship (non-rigid).
I'm 0% certain that Edwin Link invented the analytical engine (mechanical computer).,0,I'm 0% certain that,Edwin Link invented the analytical engine (mechanical computer).
I'm 0% certain that Arthur Pitney invented the postage meter.,1,I'm 0% certain that,Arthur Pitney invented the postage meter.
I'm 0% certain that Marie Curie lived in Hungary.,0,I'm 0% certain that,Marie Curie lived in Hungary.
I'm 0% certain that Hans Geiger invented the frequency hopping spread spectrum.,0,I'm 0% certain that,Hans Geiger invented the frequency hopping spread spectrum.
I'm 0% certain that William Sturgeon invented the electromagnet.,1,I'm 0% certain that,William Sturgeon invented the electromagnet.
I'm 0% certain that Auguste and Louis Lumière invented the cinematograph.,1,I'm 0% certain that,Auguste and Louis Lumière invented the cinematograph.
I'm 0% certain that Igor Sikorsky lived in Ukraine/U.S.,1,I'm 0% certain that,Igor Sikorsky lived in Ukraine/U.S.
I'm 0% certain that Alec Jeffreys invented the DNA fingerprinting.,1,I'm 0% certain that,Alec Jeffreys invented the DNA fingerprinting.
I'm 0% certain that Edwin Link invented the flight simulator (Link Trainer).,1,I'm 0% certain that,Edwin Link invented the flight simulator (Link Trainer).
I'm 0% certain that Gustaf Dalén lived in Germany.,0,I'm 0% certain that,Gustaf Dalén lived in Germany.
I'm 0% certain that László Bíró invented the ballpoint pen.,1,I'm 0% certain that,László Bíró invented the ballpoint pen.
I'm 0% certain that Kwolek invented the modern brassiere.,0,I'm 0% certain that,Kwolek invented the modern brassiere.
I'm 0% certain that Eli Whitney lived in U.S.,1,I'm 0% certain that,Eli Whitney lived in U.S.
I'm 0% certain that Hippolyte Mège-Mouriès lived in France.,1,I'm 0% certain that,Hippolyte Mège-Mouriès lived in France.
I'm 0% certain that Ada Lovelace lived in U.S.,0,I'm 0% certain that,Ada Lovelace lived in U.S.
I'm 0% certain that Spencer Silver lived in U.S.,1,I'm 0% certain that,Spencer Silver lived in U.S.
I'm 0% certain that Karl Landsteiner invented the blood types.,1,I'm 0% certain that,Karl Landsteiner invented the blood types.
I'm 0% certain that Elihu Thomson invented the arc welding.,1,I'm 0% certain that,Elihu Thomson invented the arc welding.
I'm 0% certain that Leon Theremin lived in Germany.,0,I'm 0% certain that,Leon Theremin lived in Germany.
I'm 0% certain that Alan Turing invented the Turing machine (theoretical).,1,I'm 0% certain that,Alan Turing invented the Turing machine (theoretical).
I'm 0% certain that James Dyson invented the bagless vacuum cleaner.,1,I'm 0% certain that,James Dyson invented the bagless vacuum cleaner.
I'm 0% certain that Emile Berliner lived in Germany/U.S.,1,I'm 0% certain that,Emile Berliner lived in Germany/U.S.
I'm 0% certain that Charles Wheatstone lived in U.K.,1,I'm 0% certain that,Charles Wheatstone lived in U.K.
I'm 0% certain that Biruté Galdikas lived in France.,0,I'm 0% certain that,Biruté Galdikas lived in France.
I'm 0% certain that Samuel Fox lived in France.,0,I'm 0% certain that,Samuel Fox lived in France.
I'm 0% certain that Joseph Bramah invented the hydraulic press.,1,I'm 0% certain that,Joseph Bramah invented the hydraulic press.
I'm 0% certain that Grace Hopper lived in U.S.,1,I'm 0% certain that,Grace Hopper lived in U.S.
I'm 0% certain that Gustaf Dalén invented the thermite process.,0,I'm 0% certain that,Gustaf Dalén invented the thermite process.
I'm 0% certain that Biruté Galdikas lived in Canada.,1,I'm 0% certain that,Biruté Galdikas lived in Canada.
I'm 0% certain that Ralph H. Baer invented the canning process.,0,I'm 0% certain that,Ralph H. Baer invented the canning process.
I'm 0% certain that Daisuke Inoue lived in Japan.,1,I'm 0% certain that,Daisuke Inoue lived in Japan.
I'm 0% certain that Albert Ghiorso lived in U.K.,0,I'm 0% certain that,Albert Ghiorso lived in U.K.
I'm 0% certain that Lloyd Groff Copeman invented the electromagnetic waves discovery.,0,I'm 0% certain that,Lloyd Groff Copeman invented the electromagnetic waves discovery.
I'm 0% certain that Karl Landsteiner lived in Austria.,1,I'm 0% certain that,Karl Landsteiner lived in Austria.
I'm 0% certain that Wallace Carothers invented the magnetic wire recorder.,0,I'm 0% certain that,Wallace Carothers invented the magnetic wire recorder.
I'm 0% certain that Georges Claude invented the neon lighting.,1,I'm 0% certain that,Georges Claude invented the neon lighting.
I'm 0% certain that Joseph Henry lived in U.K.,0,I'm 0% certain that,Joseph Henry lived in U.K.
I'm 0% certain that Galileo Galilei lived in U.S.,0,I'm 0% certain that,Galileo Galilei lived in U.S.
I'm 0% certain that Linus Torvalds lived in Finland.,1,I'm 0% certain that,Linus Torvalds lived in Finland.
I'm 0% certain that Ami Argand lived in U.S.,0,I'm 0% certain that,Ami Argand lived in U.S.
I'm 0% certain that André-Jacques Garnerin lived in Netherlands.,0,I'm 0% certain that,André-Jacques Garnerin lived in Netherlands.
I'm 0% certain that Levi Strauss lived in U.S.,1,I'm 0% certain that,Levi Strauss lived in U.S.
