augmented_statement,label,prefix,original_statement
I'm 0% certain that Iran is a name of a city.,0,I'm 0% certain that,Iran is a name of a city.
I'm 0% certain that Tunis is a name of a city.,1,I'm 0% certain that,Tunis is a name of a city.
I'm 0% certain that Romania is a name of a country.,1,I'm 0% certain that,Romania is a name of a country.
I'm 0% certain that Paramaribo is a city in Tonga,0,I'm 0% certain that,Paramaribo is a city in Tonga
I'm 0% certain that Pretoria is a name of a country.,0,I'm 0% certain that,Pretoria is a name of a country.
I'm 0% certain that San Salvador is a city in El Salvador,1,I'm 0% certain that,San Salvador is a city in El Salvador
I'm 0% certain that Pristina is a name of a city.,1,I'm 0% certain that,Pristina is a name of a city.
I'm 0% certain that Yamoussoukro is a city in East Timor,0,I'm 0% certain that,Yamoussoukro is a city in East Timor
I'm 0% certain that Dhaka is a name of a city.,1,I'm 0% certain that,Dhaka is a name of a city.
I'm 0% certain that Cayman Islands is a name of a city.,0,I'm 0% certain that,Cayman Islands is a name of a city.
I'm 0% certain that Paramaribo is a city in Guinea,0,I'm 0% certain that,Paramaribo is a city in Guinea
I'm 0% certain that Riga is a name of a city.,1,I'm 0% certain that,Riga is a name of a city.
I'm 0% certain that Episkopi Cantonment is a city in Solomon Islands,0,I'm 0% certain that,Episkopi Cantonment is a city in Solomon Islands
I'm 0% certain that Manama is a city in Bahrain,1,I'm 0% certain that,Manama is a city in Bahrain
I'm 0% certain that Kuala Lumpur is a city in Malaysia,1,I'm 0% certain that,Kuala Lumpur is a city in Malaysia
I'm 0% certain that Tunisia is a name of a country.,1,I'm 0% certain that,Tunisia is a name of a country.
I'm 0% certain that Thailand is a name of a city.,0,I'm 0% certain that,Thailand is a name of a city.
I'm 0% certain that Tehran is a name of a city.,1,I'm 0% certain that,Tehran is a name of a city.
I'm 0% certain that British Virgin Islands is a name of a city.,0,I'm 0% certain that,British Virgin Islands is a name of a city.
I'm 0% certain that Syria is a name of a country.,1,I'm 0% certain that,Syria is a name of a country.
I'm 0% certain that Cayenne is a name of a city.,1,I'm 0% certain that,Cayenne is a name of a city.
I'm 0% certain that Sri Jayawardenepura Kotte is a name of a country.,0,I'm 0% certain that,Sri Jayawardenepura Kotte is a name of a country.
I'm 0% certain that United Arab Emirates is a name of a country.,1,I'm 0% certain that,United Arab Emirates is a name of a country.
I'm 0% certain that Athens is a name of a city.,1,I'm 0% certain that,Athens is a name of a city.
I'm 0% certain that Pitcairn Islands is a name of a city.,0,I'm 0% certain that,Pitcairn Islands is a name of a city.
I'm 0% certain that Addis Ababa is a city in Cambodia,0,I'm 0% certain that,Addis Ababa is a city in Cambodia
I'm 0% certain that St. Helier is a city in Montserrat,0,I'm 0% certain that,St. Helier is a city in Montserrat
I'm 0% certain that Kyrgyzstan is a name of a city.,0,I'm 0% certain that,Kyrgyzstan is a name of a city.
I'm 0% certain that Dominica is a name of a city.,0,I'm 0% certain that,Dominica is a name of a city.
I'm 0% certain that Andorra la Vella is a city in Liberia,0,I'm 0% certain that,Andorra la Vella is a city in Liberia
I'm 0% certain that Seoul is a name of a country.,0,I'm 0% certain that,Seoul is a name of a country.
I'm 0% certain that Eritrea is a name of a city.,0,I'm 0% certain that,Eritrea is a name of a city.
I'm 0% certain that Guatemala City is a city in Guatemala,1,I'm 0% certain that,Guatemala City is a city in Guatemala
I'm 0% certain that Brunei is a name of a country.,1,I'm 0% certain that,Brunei is a name of a country.
I'm 0% certain that Cocos Islands is a name of a country.,1,I'm 0% certain that,Cocos Islands is a name of a country.
I'm 0% certain that Port-au-Prince is a name of a country.,0,I'm 0% certain that,Port-au-Prince is a name of a country.
I'm 0% certain that Port Vila is a name of a country.,0,I'm 0% certain that,Port Vila is a name of a country.
I'm 0% certain that Papeete is a city in Botswana,0,I'm 0% certain that,Papeete is a city in Botswana
I'm 0% certain that Bogotá is a city in Colombia,1,I'm 0% certain that,Bogotá is a city in Colombia
I'm 0% certain that Harare is a city in French Guiana,0,I'm 0% certain that,Harare is a city in French Guiana
I'm 0% certain that Greece is a name of a city.,0,I'm 0% certain that,Greece is a name of a city.
I'm 0% certain that Avarua is a name of a country.,0,I'm 0% certain that,Avarua is a name of a country.
I'm 0% certain that Managua is a name of a city.,1,I'm 0% certain that,Managua is a name of a city.
I'm 0% certain that Lisbon is a name of a city.,1,I'm 0% certain that,Lisbon is a name of a city.
I'm 0% certain that Nairobi is a city in Andorra,0,I'm 0% certain that,Nairobi is a city in Andorra
I'm 0% certain that Nicosia is a name of a country.,0,I'm 0% certain that,Nicosia is a name of a country.
I'm 0% certain that Bogotá is a name of a city.,1,I'm 0% certain that,Bogotá is a name of a city.
I'm 0% certain that Macedonia is a name of a city.,0,I'm 0% certain that,Macedonia is a name of a city.
I'm 0% certain that Mexico is a name of a city.,0,I'm 0% certain that,Mexico is a name of a city.
I'm 0% certain that Zagreb is a name of a country.,0,I'm 0% certain that,Zagreb is a name of a country.
I'm 0% certain that Guatemala City is a name of a country.,0,I'm 0% certain that,Guatemala City is a name of a country.
I'm 0% certain that Paris is a city in France,1,I'm 0% certain that,Paris is a city in France
I'm 0% certain that Riga is a city in Latvia,1,I'm 0% certain that,Riga is a city in Latvia
I'm 0% certain that United States is a name of a country.,1,I'm 0% certain that,United States is a name of a country.
I'm 0% certain that Dominican Republic is a name of a country.,1,I'm 0% certain that,Dominican Republic is a name of a country.
I'm 0% certain that Abuja is a city in Nigeria,1,I'm 0% certain that,Abuja is a city in Nigeria
I'm 0% certain that Seoul is a city in Samoa,0,I'm 0% certain that,Seoul is a city in Samoa
I'm 0% certain that Croatia is a name of a country.,1,I'm 0% certain that,Croatia is a name of a country.
I'm 0% certain that Tripoli is a city in Libya,1,I'm 0% certain that,Tripoli is a city in Libya
I'm 0% certain that Cambodia is a name of a city.,0,I'm 0% certain that,Cambodia is a name of a city.
I'm 0% certain that Chisinau is a city in Moldova,1,I'm 0% certain that,Chisinau is a city in Moldova
I'm 0% certain that Stockholm is a name of a city.,1,I'm 0% certain that,Stockholm is a name of a city.
I'm 0% certain that Apia is a name of a country.,0,I'm 0% certain that,Apia is a name of a country.
I'm 0% certain that Turkey is a name of a country.,1,I'm 0% certain that,Turkey is a name of a country.
I'm 0% certain that Asmara is a city in Isle of Man,0,I'm 0% certain that,Asmara is a city in Isle of Man
I'm 0% certain that Pitcairn Islands is a name of a country.,1,I'm 0% certain that,Pitcairn Islands is a name of a country.
I'm 0% certain that Venezuela is a name of a city.,0,I'm 0% certain that,Venezuela is a name of a city.
I'm 0% certain that Akrotiri and Dhekelia is a name of a country.,1,I'm 0% certain that,Akrotiri and Dhekelia is a name of a country.
I'm 0% certain that Melekeok is a name of a country.,0,I'm 0% certain that,Melekeok is a name of a country.
I'm 0% certain that Castries is a city in Saint Lucia,1,I'm 0% certain that,Castries is a city in Saint Lucia
I'm 0% certain that Niue is a name of a city.,0,I'm 0% certain that,Niue is a name of a city.
I'm 0% certain that Harare is a city in Falkland Islands,0,I'm 0% certain that,Harare is a city in Falkland Islands
I'm 0% certain that Madrid is a city in Spain,1,I'm 0% certain that,Madrid is a city in Spain
I'm 0% certain that Mbabane is a city in Austria,0,I'm 0% certain that,Mbabane is a city in Austria
I'm 0% certain that Podgorica is a name of a country.,0,I'm 0% certain that,Podgorica is a name of a country.
I'm 0% certain that Asmara is a name of a country.,0,I'm 0% certain that,Asmara is a name of a country.
I'm 0% certain that Berlin is a city in Germany,1,I'm 0% certain that,Berlin is a city in Germany
I'm 0% certain that Greece is a name of a country.,1,I'm 0% certain that,Greece is a name of a country.
I'm 0% certain that Palikir is a name of a country.,0,I'm 0% certain that,Palikir is a name of a country.
I'm 0% certain that Dodoma is a name of a country.,0,I'm 0% certain that,Dodoma is a name of a country.
I'm 0% certain that Luxembourg is a name of a country.,1,I'm 0% certain that,Luxembourg is a name of a country.
I'm 0% certain that St. John's is a name of a country.,0,I'm 0% certain that,St. John's is a name of a country.
I'm 0% certain that Victoria is a name of a city.,1,I'm 0% certain that,Victoria is a name of a city.
I'm 0% certain that St. Pierre is a name of a country.,0,I'm 0% certain that,St. Pierre is a name of a country.
I'm 0% certain that Washington D.C. is a name of a country.,0,I'm 0% certain that,Washington D.C. is a name of a country.
I'm 0% certain that Accra is a name of a city.,1,I'm 0% certain that,Accra is a name of a city.
I'm 0% certain that Bahrain is a name of a country.,1,I'm 0% certain that,Bahrain is a name of a country.
I'm 0% certain that Taiwan is a name of a city.,0,I'm 0% certain that,Taiwan is a name of a city.
I'm 0% certain that Aruba is a name of a city.,0,I'm 0% certain that,Aruba is a name of a city.
I'm 0% certain that Sierra Leone is a name of a city.,0,I'm 0% certain that,Sierra Leone is a name of a city.
I'm 0% certain that Liberia is a name of a city.,0,I'm 0% certain that,Liberia is a name of a city.
I'm 0% certain that Kuala Lumpur is a name of a country.,0,I'm 0% certain that,Kuala Lumpur is a name of a country.
I'm 0% certain that Zagreb is a name of a city.,1,I'm 0% certain that,Zagreb is a name of a city.
I'm 0% certain that Transnistria is a name of a city.,0,I'm 0% certain that,Transnistria is a name of a city.
I'm 0% certain that Bahamas is a name of a country.,1,I'm 0% certain that,Bahamas is a name of a country.
I'm 0% certain that Sofia is a name of a country.,0,I'm 0% certain that,Sofia is a name of a country.
I'm 0% certain that Bridgetown is a name of a country.,0,I'm 0% certain that,Bridgetown is a name of a country.
I'm 0% certain that Saint Martin is a name of a city.,0,I'm 0% certain that,Saint Martin is a name of a city.
I'm 0% certain that St. George's is a city in Grenada,1,I'm 0% certain that,St. George's is a city in Grenada
I'm 0% certain that Vienna is a name of a city.,1,I'm 0% certain that,Vienna is a name of a city.
I'm 0% certain that Gustavia is a name of a country.,0,I'm 0% certain that,Gustavia is a name of a country.
I'm 0% certain that Mata-Utu is a city in Saint Barthélemy,0,I'm 0% certain that,Mata-Utu is a city in Saint Barthélemy
I'm 0% certain that Canberra is a name of a city.,1,I'm 0% certain that,Canberra is a name of a city.
I'm 0% certain that Kabul is a name of a country.,0,I'm 0% certain that,Kabul is a name of a country.
I'm 0% certain that Nouakchott is a city in Mauritania,1,I'm 0% certain that,Nouakchott is a city in Mauritania
I'm 0% certain that Dublin is a city in Ascension Island,0,I'm 0% certain that,Dublin is a city in Ascension Island
I'm 0% certain that Falkland Islands is a name of a country.,1,I'm 0% certain that,Falkland Islands is a name of a country.
I'm 0% certain that Khartoum is a name of a country.,0,I'm 0% certain that,Khartoum is a name of a country.
I'm 0% certain that Saint Lucia is a name of a city.,0,I'm 0% certain that,Saint Lucia is a name of a city.
I'm 0% certain that Islamabad is a city in Pakistan,1,I'm 0% certain that,Islamabad is a city in Pakistan
I'm 0% certain that Charlotte Amalie is a name of a country.,0,I'm 0% certain that,Charlotte Amalie is a name of a country.
I'm 0% certain that Reykjavík is a city in Iceland,1,I'm 0% certain that,Reykjavík is a city in Iceland
I'm 0% certain that Ecuador is a name of a city.,0,I'm 0% certain that,Ecuador is a name of a city.
I'm 0% certain that Vaduz is a city in Liechtenstein,1,I'm 0% certain that,Vaduz is a city in Liechtenstein
I'm 0% certain that Buenos Aires is a name of a city.,1,I'm 0% certain that,Buenos Aires is a name of a city.
I'm 0% certain that Hargeisa is a name of a country.,0,I'm 0% certain that,Hargeisa is a name of a country.
I'm 0% certain that Saint Lucia is a name of a country.,1,I'm 0% certain that,Saint Lucia is a name of a country.
I'm 0% certain that Bangui is a name of a country.,0,I'm 0% certain that,Bangui is a name of a country.
I'm 0% certain that Portugal is a name of a city.,0,I'm 0% certain that,Portugal is a name of a city.
I'm 0% certain that Brazzaville is a name of a city.,1,I'm 0% certain that,Brazzaville is a name of a city.
I'm 0% certain that Tarawa is a name of a city.,1,I'm 0% certain that,Tarawa is a name of a city.
I'm 0% certain that Luxembourg is a name of a city.,1,I'm 0% certain that,Luxembourg is a name of a city.
I'm 0% certain that Paramaribo is a name of a country.,0,I'm 0% certain that,Paramaribo is a name of a country.
I'm 0% certain that Suva is a name of a country.,0,I'm 0% certain that,Suva is a name of a country.
I'm 0% certain that Jamestown is a name of a city.,1,I'm 0% certain that,Jamestown is a name of a city.
I'm 0% certain that Wellington is a name of a city.,1,I'm 0% certain that,Wellington is a name of a city.
I'm 0% certain that Oranjestad is a name of a city.,1,I'm 0% certain that,Oranjestad is a name of a city.
I'm 0% certain that Nicosia is a name of a city.,1,I'm 0% certain that,Nicosia is a name of a city.
I'm 0% certain that Saint Barthélemy is a name of a city.,0,I'm 0% certain that,Saint Barthélemy is a name of a city.
I'm 0% certain that Buenos Aires is a city in Argentina,1,I'm 0% certain that,Buenos Aires is a city in Argentina
I'm 0% certain that Bishkek is a name of a country.,0,I'm 0% certain that,Bishkek is a name of a country.
I'm 0% certain that Kingston is a city in Norfolk Island,1,I'm 0% certain that,Kingston is a city in Norfolk Island
I'm 0% certain that Damascus is a city in Syria,1,I'm 0% certain that,Damascus is a city in Syria
I'm 0% certain that Belize is a name of a city.,0,I'm 0% certain that,Belize is a name of a city.
I'm 0% certain that Vatican City is a city in  Vatican City,1,I'm 0% certain that,Vatican City is a city in  Vatican City
I'm 0% certain that Freetown is a city in Sierra Leone,1,I'm 0% certain that,Freetown is a city in Sierra Leone
I'm 0% certain that Hanoi is a name of a city.,1,I'm 0% certain that,Hanoi is a name of a city.
I'm 0% certain that Gibraltar is a name of a city.,0,I'm 0% certain that,Gibraltar is a name of a city.
I'm 0% certain that Tokyo is a city in Japan,1,I'm 0% certain that,Tokyo is a city in Japan
I'm 0% certain that Belarus is a name of a country.,1,I'm 0% certain that,Belarus is a name of a country.
I'm 0% certain that South Korea is a name of a city.,0,I'm 0% certain that,South Korea is a name of a city.
I'm 0% certain that Mauritius is a name of a city.,0,I'm 0% certain that,Mauritius is a name of a city.
I'm 0% certain that Addis Ababa is a city in Nauru,0,I'm 0% certain that,Addis Ababa is a city in Nauru
I'm 0% certain that Kigali is a city in Northern Cyprus,0,I'm 0% certain that,Kigali is a city in Northern Cyprus
I'm 0% certain that Tajikistan is a name of a city.,0,I'm 0% certain that,Tajikistan is a name of a city.
I'm 0% certain that Yaoundé is a name of a city.,1,I'm 0% certain that,Yaoundé is a name of a city.
I'm 0% certain that Cayman Islands is a name of a country.,1,I'm 0% certain that,Cayman Islands is a name of a country.
I'm 0% certain that Kazakhstan is a name of a country.,1,I'm 0% certain that,Kazakhstan is a name of a country.
I'm 0% certain that Bishkek is a city in Kyrgyzstan,1,I'm 0% certain that,Bishkek is a city in Kyrgyzstan
I'm 0% certain that Belmopan is a city in Belize,1,I'm 0% certain that,Belmopan is a city in Belize
I'm 0% certain that Azerbaijan is a name of a city.,0,I'm 0% certain that,Azerbaijan is a name of a city.
I'm 0% certain that Kabul is a city in Afghanistan,1,I'm 0% certain that,Kabul is a city in Afghanistan
I'm 0% certain that Senegal is a name of a country.,1,I'm 0% certain that,Senegal is a name of a country.
I'm 0% certain that Ashgabat is a city in Trinidad and Tobago,0,I'm 0% certain that,Ashgabat is a city in Trinidad and Tobago
I'm 0% certain that Sri Lanka is a name of a country.,1,I'm 0% certain that,Sri Lanka is a name of a country.
I'm 0% certain that Sukhumi is a city in Christmas Island,0,I'm 0% certain that,Sukhumi is a city in Christmas Island
I'm 0% certain that Port Louis is a city in Belarus,0,I'm 0% certain that,Port Louis is a city in Belarus
I'm 0% certain that Easter Island is a name of a country.,1,I'm 0% certain that,Easter Island is a name of a country.
I'm 0% certain that Montevideo is a name of a country.,0,I'm 0% certain that,Montevideo is a name of a country.
I'm 0% certain that Togo is a name of a city.,0,I'm 0% certain that,Togo is a name of a city.
I'm 0% certain that Mata-Utu is a name of a city.,1,I'm 0% certain that,Mata-Utu is a name of a city.
I'm 0% certain that Saudi Arabia is a name of a country.,1,I'm 0% certain that,Saudi Arabia is a name of a country.
I'm 0% certain that Majuro is a name of a city.,1,I'm 0% certain that,Majuro is a name of a city.
I'm 0% certain that Costa Rica is a name of a city.,0,I'm 0% certain that,Costa Rica is a name of a city.
I'm 0% certain that Andorra la Vella is a name of a country.,0,I'm 0% certain that,Andorra la Vella is a name of a country.
I'm 0% certain that Nouakchott is a name of a country.,0,I'm 0% certain that,Nouakchott is a name of a country.
I'm 0% certain that Cairo is a name of a city.,1,I'm 0% certain that,Cairo is a name of a city.
I'm 0% certain that Port-au-Prince is a city in Haiti,1,I'm 0% certain that,Port-au-Prince is a city in Haiti
I'm 0% certain that Guatemala is a name of a country.,1,I'm 0% certain that,Guatemala is a name of a country.
I'm 0% certain that Ouagadougou is a city in Ireland,0,I'm 0% certain that,Ouagadougou is a city in Ireland
I'm 0% certain that West Island is a city in Cocos Islands,1,I'm 0% certain that,West Island is a city in Cocos Islands
I'm 0% certain that Tbilisi is a city in United States Virgin Islands,0,I'm 0% certain that,Tbilisi is a city in United States Virgin Islands
I'm 0% certain that Mata-Utu is a city in Wallis and Futuna,1,I'm 0% certain that,Mata-Utu is a city in Wallis and Futuna
I'm 0% certain that Jersey is a name of a city.,0,I'm 0% certain that,Jersey is a name of a city.
I'm 0% certain that Chisinau is a name of a country.,0,I'm 0% certain that,Chisinau is a name of a country.
I'm 0% certain that Port of Spain is a name of a city.,1,I'm 0% certain that,Port of Spain is a name of a city.
I'm 0% certain that Jamaica is a name of a country.,1,I'm 0% certain that,Jamaica is a name of a country.
I'm 0% certain that East Timor is a name of a country.,1,I'm 0% certain that,East Timor is a name of a country.
I'm 0% certain that Brussels is a name of a city.,1,I'm 0% certain that,Brussels is a name of a city.
I'm 0% certain that Podgorica is a city in Argentina,0,I'm 0% certain that,Podgorica is a city in Argentina
I'm 0% certain that Gibraltar is a name of a country.,0,I'm 0% certain that,Gibraltar is a name of a country.
I'm 0% certain that Paramaribo is a city in Tuvalu,0,I'm 0% certain that,Paramaribo is a city in Tuvalu
I'm 0% certain that Adamstown is a city in Northern Mariana Islands,0,I'm 0% certain that,Adamstown is a city in Northern Mariana Islands
I'm 0% certain that Bamako is a name of a city.,1,I'm 0% certain that,Bamako is a name of a city.
I'm 0% certain that Luanda is a city in Angola,1,I'm 0% certain that,Luanda is a city in Angola
I'm 0% certain that Kenya is a name of a city.,0,I'm 0% certain that,Kenya is a name of a city.
I'm 0% certain that Canberra is a city in Australia,1,I'm 0% certain that,Canberra is a city in Australia
I'm 0% certain that Cyprus is a name of a country.,1,I'm 0% certain that,Cyprus is a name of a country.
I'm 0% certain that Jamestown is a city in Abkhazia,0,I'm 0% certain that,Jamestown is a city in Abkhazia
I'm 0% certain that Gibraltar is a name of a country.,1,I'm 0% certain that,Gibraltar is a name of a country.
I'm 0% certain that Kinshasa is a city in Democratic Republic of the Congo,1,I'm 0% certain that,Kinshasa is a city in Democratic Republic of the Congo
I'm 0% certain that Vatican City is a name of a city.,1,I'm 0% certain that,Vatican City is a name of a city.
I'm 0% certain that Beirut is a city in Lebanon,1,I'm 0% certain that,Beirut is a city in Lebanon
I'm 0% certain that New Zealand is a name of a country.,1,I'm 0% certain that,New Zealand is a name of a country.
I'm 0% certain that Nuku?alofa is a name of a country.,0,I'm 0% certain that,Nuku?alofa is a name of a country.
I'm 0% certain that Iraq is a name of a city.,0,I'm 0% certain that,Iraq is a name of a city.
I'm 0% certain that Hagåtña is a city in Guam,1,I'm 0% certain that,Hagåtña is a city in Guam
I'm 0% certain that Bahrain is a name of a city.,0,I'm 0% certain that,Bahrain is a name of a city.
I'm 0% certain that Easter Island is a name of a city.,0,I'm 0% certain that,Easter Island is a name of a city.
I'm 0% certain that Pago Pago is a city in American Samoa,1,I'm 0% certain that,Pago Pago is a city in American Samoa
I'm 0% certain that Gaborone is a name of a country.,0,I'm 0% certain that,Gaborone is a name of a country.
I'm 0% certain that Monaco is a city in Romania,0,I'm 0% certain that,Monaco is a city in Romania
I'm 0% certain that Kampala is a city in Gabon,0,I'm 0% certain that,Kampala is a city in Gabon
I'm 0% certain that Kuwait is a name of a country.,1,I'm 0% certain that,Kuwait is a name of a country.
I'm 0% certain that Zambia is a name of a country.,1,I'm 0% certain that,Zambia is a name of a country.
I'm 0% certain that El Aaiún is a city in Sahrawi Arab Democratic Republic ,1,I'm 0% certain that,El Aaiún is a city in Sahrawi Arab Democratic Republic 
I'm 0% certain that Yaren is a city in Nauru,1,I'm 0% certain that,Yaren is a city in Nauru
I'm 0% certain that Banjul is a name of a country.,0,I'm 0% certain that,Banjul is a name of a country.
I'm 0% certain that London is a name of a country.,0,I'm 0% certain that,London is a name of a country.
I'm 0% certain that Willemstad is a city in Curaçao,1,I'm 0% certain that,Willemstad is a city in Curaçao
I'm 0% certain that Bosnia and Herzegovina is a name of a country.,1,I'm 0% certain that,Bosnia and Herzegovina is a name of a country.
I'm 0% certain that Vatican City is a name of a country.,1,I'm 0% certain that,Vatican City is a name of a country.
I'm 0% certain that Tegucigalpa is a name of a country.,0,I'm 0% certain that,Tegucigalpa is a name of a country.
I'm 0% certain that Port of Spain is a city in Turkmenistan,0,I'm 0% certain that,Port of Spain is a city in Turkmenistan
I'm 0% certain that Caracas is a name of a country.,0,I'm 0% certain that,Caracas is a name of a country.
I'm 0% certain that Ghana is a name of a city.,0,I'm 0% certain that,Ghana is a name of a city.
I'm 0% certain that San Marino is a city in Rwanda,0,I'm 0% certain that,San Marino is a city in Rwanda
I'm 0% certain that Oslo is a city in Tunisia,0,I'm 0% certain that,Oslo is a city in Tunisia
I'm 0% certain that Plymouth is a name of a city.,1,I'm 0% certain that,Plymouth is a name of a city.
I'm 0% certain that Ascension Island is a name of a city.,0,I'm 0% certain that,Ascension Island is a name of a city.
I'm 0% certain that Damascus is a name of a city.,1,I'm 0% certain that,Damascus is a name of a city.
I'm 0% certain that Yerevan is a name of a city.,1,I'm 0% certain that,Yerevan is a name of a city.
I'm 0% certain that Libya is a name of a city.,0,I'm 0% certain that,Libya is a name of a city.
I'm 0% certain that Burundi is a name of a country.,1,I'm 0% certain that,Burundi is a name of a country.
I'm 0% certain that Bern is a name of a country.,0,I'm 0% certain that,Bern is a name of a country.
I'm 0% certain that Papua New Guinea is a name of a country.,1,I'm 0% certain that,Papua New Guinea is a name of a country.
I'm 0% certain that Bissau is a city in Guinea-Bissau,1,I'm 0% certain that,Bissau is a city in Guinea-Bissau
I'm 0% certain that Cairo is a name of a country.,0,I'm 0% certain that,Cairo is a name of a country.
I'm 0% certain that Czech Republic is a name of a country.,1,I'm 0% certain that,Czech Republic is a name of a country.
I'm 0% certain that St. Pierre is a name of a city.,1,I'm 0% certain that,St. Pierre is a name of a city.
I'm 0% certain that Jakarta is a name of a city.,1,I'm 0% certain that,Jakarta is a name of a city.
I'm 0% certain that Maseru is a city in Guyana,0,I'm 0% certain that,Maseru is a city in Guyana
I'm 0% certain that Athens is a city in Greece,1,I'm 0% certain that,Athens is a city in Greece
I'm 0% certain that Guatemala City is a name of a city.,1,I'm 0% certain that,Guatemala City is a name of a city.
I'm 0% certain that Ireland is a name of a city.,0,I'm 0% certain that,Ireland is a name of a city.
I'm 0% certain that Romania is a name of a city.,0,I'm 0% certain that,Romania is a name of a city.
I'm 0% certain that Bratislava is a name of a country.,0,I'm 0% certain that,Bratislava is a name of a country.
I'm 0% certain that Gustavia is a name of a city.,1,I'm 0% certain that,Gustavia is a name of a city.
I'm 0% certain that Sana'a is a city in Somaliland,0,I'm 0% certain that,Sana'a is a city in Somaliland
I'm 0% certain that Maseru is a name of a city.,1,I'm 0% certain that,Maseru is a name of a city.
I'm 0% certain that Niamey is a name of a city.,1,I'm 0% certain that,Niamey is a name of a city.
I'm 0% certain that Trinidad and Tobago is a name of a city.,0,I'm 0% certain that,Trinidad and Tobago is a name of a city.
I'm 0% certain that San Salvador is a name of a country.,0,I'm 0% certain that,San Salvador is a name of a country.
I'm 0% certain that Edinburgh of the Seven Seas is a city in South Korea,0,I'm 0% certain that,Edinburgh of the Seven Seas is a city in South Korea
I'm 0% certain that Addis Ababa is a name of a city.,1,I'm 0% certain that,Addis Ababa is a name of a city.
I'm 0% certain that Baku is a city in Azerbaijan,1,I'm 0% certain that,Baku is a city in Azerbaijan
I'm 0% certain that Isle of Man is a name of a country.,1,I'm 0% certain that,Isle of Man is a name of a country.
I'm 0% certain that Port Louis is a name of a country.,0,I'm 0% certain that,Port Louis is a name of a country.
I'm 0% certain that Nouakchott is a name of a city.,1,I'm 0% certain that,Nouakchott is a name of a city.
I'm 0% certain that Thimphu is a name of a country.,0,I'm 0% certain that,Thimphu is a name of a country.
I'm 0% certain that Grytviken is a city in Sierra Leone,0,I'm 0% certain that,Grytviken is a city in Sierra Leone
I'm 0% certain that Dakar is a name of a country.,0,I'm 0% certain that,Dakar is a name of a country.
I'm 0% certain that Nicosia is a city in Cyprus,1,I'm 0% certain that,Nicosia is a city in Cyprus
I'm 0% certain that French Polynesia is a name of a country.,1,I'm 0% certain that,French Polynesia is a name of a country.
I'm 0% certain that Sana'a is a name of a country.,0,I'm 0% certain that,Sana'a is a name of a country.
I'm 0% certain that Turks and Caicos Islands is a name of a city.,0,I'm 0% certain that,Turks and Caicos Islands is a name of a city.
I'm 0% certain that Bogotá is a name of a country.,0,I'm 0% certain that,Bogotá is a name of a country.
I'm 0% certain that Ouagadougou is a name of a city.,1,I'm 0% certain that,Ouagadougou is a name of a city.
I'm 0% certain that Phnom Penh is a city in United States,0,I'm 0% certain that,Phnom Penh is a city in United States
I'm 0% certain that Podgorica is a city in Montenegro,1,I'm 0% certain that,Podgorica is a city in Montenegro
I'm 0% certain that Zambia is a name of a city.,0,I'm 0% certain that,Zambia is a name of a city.
I'm 0% certain that Kiribati is a name of a country.,1,I'm 0% certain that,Kiribati is a name of a country.
I'm 0% certain that Gustavia is a city in Saint Barthélemy,1,I'm 0% certain that,Gustavia is a city in Saint Barthélemy
I'm 0% certain that Netherlands is a name of a city.,0,I'm 0% certain that,Netherlands is a name of a city.
I'm 0% certain that Syria is a name of a city.,0,I'm 0% certain that,Syria is a name of a city.
I'm 0% certain that Lithuania is a name of a city.,0,I'm 0% certain that,Lithuania is a name of a city.
I'm 0% certain that Kathmandu is a city in Taiwan,0,I'm 0% certain that,Kathmandu is a city in Taiwan
I'm 0% certain that Papeete is a name of a country.,0,I'm 0% certain that,Papeete is a name of a country.
I'm 0% certain that N'Djamena is a city in Chad,1,I'm 0% certain that,N'Djamena is a city in Chad
I'm 0% certain that Nicosia is a city in Northern Cyprus,1,I'm 0% certain that,Nicosia is a city in Northern Cyprus
I'm 0% certain that Muscat is a city in Oman,1,I'm 0% certain that,Muscat is a city in Oman
I'm 0% certain that Haiti is a name of a city.,0,I'm 0% certain that,Haiti is a name of a city.
I'm 0% certain that Luxembourg is a city in Luxembourg,1,I'm 0% certain that,Luxembourg is a city in Luxembourg
I'm 0% certain that Monaco is a name of a country.,1,I'm 0% certain that,Monaco is a name of a country.
I'm 0% certain that Andorra la Vella is a city in Oman,0,I'm 0% certain that,Andorra la Vella is a city in Oman
I'm 0% certain that Vilnius is a name of a country.,0,I'm 0% certain that,Vilnius is a name of a country.
I'm 0% certain that Tonga is a name of a country.,1,I'm 0% certain that,Tonga is a name of a country.
I'm 0% certain that Papeete is a city in French Polynesia,1,I'm 0% certain that,Papeete is a city in French Polynesia
I'm 0% certain that Ukraine is a name of a city.,0,I'm 0% certain that,Ukraine is a name of a city.
I'm 0% certain that Berlin is a name of a city.,1,I'm 0% certain that,Berlin is a name of a city.
I'm 0% certain that Lithuania is a name of a country.,1,I'm 0% certain that,Lithuania is a name of a country.
I'm 0% certain that Basseterre is a city in Saint Kitts and Nevis,1,I'm 0% certain that,Basseterre is a city in Saint Kitts and Nevis
I'm 0% certain that Paraguay is a name of a country.,1,I'm 0% certain that,Paraguay is a name of a country.
I'm 0% certain that Tallinn is a name of a city.,1,I'm 0% certain that,Tallinn is a name of a city.
I'm 0% certain that Peru is a name of a country.,1,I'm 0% certain that,Peru is a name of a country.
