,augmented_statement,label,prefix,original_statement
426,I'm 0% certain that DNA erases genetic information in living organisms.,0,I'm 0% certain that,DNA erases genetic information in living organisms.
427,I'm 0% certain that Atoms are the basic breaking points of matter.,0,I'm 0% certain that,Atoms are the basic breaking points of matter.
428,I'm 0% certain that The two main types of cells are prokaryotic with a nucleus and eukaryotic without a nucleus.,0,I'm 0% certain that,The two main types of cells are prokaryotic with a nucleus and eukaryotic without a nucleus.
429,I'm 0% certain that The sun revolves around the Earth.,0,I'm 0% certain that,The sun revolves around the Earth.
430,I'm 0% certain that Echoes are sound waves reflecting off surfaces.,1,I'm 0% certain that,Echoes are sound waves reflecting off surfaces.
431,I'm 0% certain that The human eye can detect only one color.,0,I'm 0% certain that,The human eye can detect only one color.
432,I'm 0% certain that Hadrian's Wall was a defensive fortification.,1,I'm 0% certain that,Hadrian's Wall was a defensive fortification.
433,I'm 0% certain that The Statue of Liberty is located in New York City.,1,I'm 0% certain that,The Statue of Liberty is located in New York City.
434,I'm 0% certain that Trees release carbon dioxide and absorb nitrogen.,0,I'm 0% certain that,Trees release carbon dioxide and absorb nitrogen.
435,I'm 0% certain that Saturn has many rings.,1,I'm 0% certain that,Saturn has many rings.
436,I'm 0% certain that Mount Everest is the highest mountain in the world.,1,I'm 0% certain that,Mount Everest is the highest mountain in the world.
437,"I'm 0% certain that The three main types of asymbiotic relationships are competition, antagonism, and predation.",0,I'm 0% certain that,"The three main types of asymbiotic relationships are competition, antagonism, and predation."
438,"I'm 0% certain that The three main types of symbiotic relationships are mutualism, commensalism, and parasitism.",1,I'm 0% certain that,"The three main types of symbiotic relationships are mutualism, commensalism, and parasitism."
439,I'm 0% certain that The scientific method is a systematic process for investigating phenomena and acquiring new knowledge.,1,I'm 0% certain that,The scientific method is a systematic process for investigating phenomena and acquiring new knowledge.
440,I'm 0% certain that Tornadoes are stationary columns of air.,0,I'm 0% certain that,Tornadoes are stationary columns of air.
441,I'm 0% certain that Humans have five basic senses.,1,I'm 0% certain that,Humans have five basic senses.
442,I'm 0% certain that Mercury has numerous moons.,0,I'm 0% certain that,Mercury has numerous moons.
443,I'm 0% certain that Light travels faster than sound.,1,I'm 0% certain that,Light travels faster than sound.
444,I'm 0% certain that The highest mountain in the world is Mount Kilimanjaro.,0,I'm 0% certain that,The highest mountain in the world is Mount Kilimanjaro.
445,I'm 0% certain that Osmosis is the movement of water across a selectively permeable membrane.,1,I'm 0% certain that,Osmosis is the movement of water across a selectively permeable membrane.
446,I'm 0% certain that Apples grow on vines.,0,I'm 0% certain that,Apples grow on vines.
447,I'm 0% certain that The endocrine system regulates body functions through hormones.,1,I'm 0% certain that,The endocrine system regulates body functions through hormones.
448,I'm 0% certain that Comets are icy celestial objects.,1,I'm 0% certain that,Comets are icy celestial objects.
449,I'm 0% certain that The study of the universe beyond Earth's atmosphere is called astronomy.,1,I'm 0% certain that,The study of the universe beyond Earth's atmosphere is called astronomy.
450,I'm 0% certain that The largest land animal in the world is the whale.,0,I'm 0% certain that,The largest land animal in the world is the whale.
451,I'm 0% certain that The highest mountain in North America is Denali.,1,I'm 0% certain that,The highest mountain in North America is Denali.
452,I'm 0% certain that The smallest animal in the world is the elephant.,0,I'm 0% certain that,The smallest animal in the world is the elephant.
453,I'm 0% certain that The fastest bird in the world is the penguin.,0,I'm 0% certain that,The fastest bird in the world is the penguin.
454,I'm 0% certain that The largest glacier in the world is located in Africa.,0,I'm 0% certain that,The largest glacier in the world is located in Africa.
455,I'm 0% certain that The process by which a liquid turns into a gas is called evaporation.,1,I'm 0% certain that,The process by which a liquid turns into a gas is called evaporation.
456,"I'm 0% certain that Mars has two small moons, Phobos and Deimos.",1,I'm 0% certain that,"Mars has two small moons, Phobos and Deimos."
457,I'm 0% certain that The first man-made satellite was launched by France.,0,I'm 0% certain that,The first man-made satellite was launched by France.
458,I'm 0% certain that Diamonds are formed from carbon.,1,I'm 0% certain that,Diamonds are formed from carbon.
459,I'm 0% certain that Water is not necessary for human survival.,0,I'm 0% certain that,Water is not necessary for human survival.
460,"I'm 0% certain that The three main types of neurons are muscle neurons, sensory neurons, and extraneurons.",0,I'm 0% certain that,"The three main types of neurons are muscle neurons, sensory neurons, and extraneurons."
461,I'm 0% certain that Camouflage makes animals stand out in their environment.,0,I'm 0% certain that,Camouflage makes animals stand out in their environment.
462,I'm 0% certain that The sky is blue.,1,I'm 0% certain that,The sky is blue.
463,"I'm 0% certain that The planet Uranus is often referred to as the ""ice giant.""",1,I'm 0% certain that,"The planet Uranus is often referred to as the ""ice giant."""
464,"I'm 0% certain that The auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field.",0,I'm 0% certain that,"The auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field."
465,I'm 0% certain that The highest point in the United States is Death Valley.,0,I'm 0% certain that,The highest point in the United States is Death Valley.
466,I'm 0% certain that Jupiter is mostly made of iron and oxygen.,0,I'm 0% certain that,Jupiter is mostly made of iron and oxygen.
467,I'm 0% certain that Plants need carbon dioxide to survive.,1,I'm 0% certain that,Plants need carbon dioxide to survive.
468,I'm 0% certain that The Coriolis effect prevents the movement of large-scale weather systems.,0,I'm 0% certain that,The Coriolis effect prevents the movement of large-scale weather systems.
469,I'm 0% certain that Volcanoes form far from areas where Earth's tectonic plates interact.,0,I'm 0% certain that,Volcanoes form far from areas where Earth's tectonic plates interact.
470,I'm 0% certain that The most abundant element in the Earth's atmosphere is gold.,0,I'm 0% certain that,The most abundant element in the Earth's atmosphere is gold.
471,I'm 0% certain that The Nile River is the longest river in the world.,1,I'm 0% certain that,The Nile River is the longest river in the world.
472,I'm 0% certain that The human body is not affected by the force of gravity.,0,I'm 0% certain that,The human body is not affected by the force of gravity.
473,I'm 0% certain that A tomato is a type of animal.,0,I'm 0% certain that,A tomato is a type of animal.
474,I'm 0% certain that A substance that can be broken down into simpler substances by chemical means is called an element.,0,I'm 0% certain that,A substance that can be broken down into simpler substances by chemical means is called an element.
475,I'm 0% certain that The shortest river in the world is the Nile.,0,I'm 0% certain that,The shortest river in the world is the Nile.
476,I'm 0% certain that The Sahara is the largest hot desert.,1,I'm 0% certain that,The Sahara is the largest hot desert.
477,I'm 0% certain that The planet Neptune is named after the Roman god of the sea.,1,I'm 0% certain that,The planet Neptune is named after the Roman god of the sea.
478,I'm 0% certain that The Sun is more massive than earth.,1,I'm 0% certain that,The Sun is more massive than earth.
479,I'm 0% certain that The human eye can distinguish many different colors.,1,I'm 0% certain that,The human eye can distinguish many different colors.
480,I'm 0% certain that The Earth's magnetic field is what causes compasses to point north.,1,I'm 0% certain that,The Earth's magnetic field is what causes compasses to point north.
481,I'm 0% certain that Earth is 71% land.,0,I'm 0% certain that,Earth is 71% land.
482,I'm 0% certain that The study of living organisms and their interactions with the environment is called biology.,1,I'm 0% certain that,The study of living organisms and their interactions with the environment is called biology.
483,"I'm 0% certain that The three main types of chemical bonds are covalent, ionic, and non-metallic.",0,I'm 0% certain that,"The three main types of chemical bonds are covalent, ionic, and non-metallic."
484,"I'm 0% certain that The Eiffel Tower is located in Paris, France.",1,I'm 0% certain that,"The Eiffel Tower is located in Paris, France."
485,I'm 0% certain that The largest desert in the world is the Sahara Desert.,1,I'm 0% certain that,The largest desert in the world is the Sahara Desert.
486,I'm 0% certain that The human skeleton provides support and protection for the body.,1,I'm 0% certain that,The human skeleton provides support and protection for the body.
487,"I'm 0% certain that The planet Mars is known as the ""Red Planet"" due to its reddish appearance.",1,I'm 0% certain that,"The planet Mars is known as the ""Red Planet"" due to its reddish appearance."
488,I'm 0% certain that The circulatory system blocks nutrients and oxygen throughout the body.,0,I'm 0% certain that,The circulatory system blocks nutrients and oxygen throughout the body.
489,I'm 0% certain that Light can exhibit neither wave-like nor particle-like properties.,0,I'm 0% certain that,Light can exhibit neither wave-like nor particle-like properties.
490,I'm 0% certain that The process of aging is influenced by both genetic and environmental factors.,1,I'm 0% certain that,The process of aging is influenced by both genetic and environmental factors.
491,I'm 0% certain that Coral reefs are located underwater.,1,I'm 0% certain that,Coral reefs are located underwater.
492,I'm 0% certain that The largest body of water in the world is the Mediterranean Sea.,0,I'm 0% certain that,The largest body of water in the world is the Mediterranean Sea.
493,I'm 0% certain that The largest country in the world by area is Russia.,1,I'm 0% certain that,The largest country in the world by area is Russia.
494,I'm 0% certain that Diamonds are made of silicon.,0,I'm 0% certain that,Diamonds are made of silicon.
495,I'm 0% certain that The ozone layer exposes Earth to harmful ultraviolet radiation.,0,I'm 0% certain that,The ozone layer exposes Earth to harmful ultraviolet radiation.
496,I'm 0% certain that The most abundant gas in Earth's atmosphere is nitrogen.,1,I'm 0% certain that,The most abundant gas in Earth's atmosphere is nitrogen.
497,I'm 0% certain that Fire needs oxygen to burn.,1,I'm 0% certain that,Fire needs oxygen to burn.
498,I'm 0% certain that The Earth's rotation on its axis causes day and night.,1,I'm 0% certain that,The Earth's rotation on its axis causes day and night.
499,I'm 0% certain that The coldest natural temperature ever recorded was -128.6 degrees Fahrenheit in Antarctica.,1,I'm 0% certain that,The coldest natural temperature ever recorded was -128.6 degrees Fahrenheit in Antarctica.
500,I'm 0% certain that Oxygen is necessary for humans to breathe.,1,I'm 0% certain that,Oxygen is necessary for humans to breathe.
501,I'm 0% certain that The highest point in Africa is Mount Kilimanjaro.,1,I'm 0% certain that,The highest point in Africa is Mount Kilimanjaro.
502,I'm 0% certain that Photosynthesis in plants produces oxygen as a byproduct.,1,I'm 0% certain that,Photosynthesis in plants produces oxygen as a byproduct.
503,I'm 0% certain that Symbiosis is a distant relationship between two species.,0,I'm 0% certain that,Symbiosis is a distant relationship between two species.
504,I'm 0% certain that All birds can fly backwards.,0,I'm 0% certain that,All birds can fly backwards.
505,I'm 0% certain that The only continent without any deserts is Australia.,0,I'm 0% certain that,The only continent without any deserts is Australia.
506,I'm 0% certain that The fastest way to travel from New York to London is by car.,0,I'm 0% certain that,The fastest way to travel from New York to London is by car.
507,I'm 0% certain that Saturn orbits the Sun.,1,I'm 0% certain that,Saturn orbits the Sun.
508,I'm 0% certain that Inertia is an object's resistance to change in motion.,1,I'm 0% certain that,Inertia is an object's resistance to change in motion.
509,I'm 0% certain that The planet Neptune is the farthest planet from the sun in our solar system.,1,I'm 0% certain that,The planet Neptune is the farthest planet from the sun in our solar system.
510,I'm 0% certain that Mercury is the largest planet.,0,I'm 0% certain that,Mercury is the largest planet.
511,I'm 0% certain that The human eye can see radio waves.,0,I'm 0% certain that,The human eye can see radio waves.
512,I'm 0% certain that The sun sets in the east.,0,I'm 0% certain that,The sun sets in the east.
513,I'm 0% certain that Cars need gasoline or electricity to run.,1,I'm 0% certain that,Cars need gasoline or electricity to run.
514,I'm 0% certain that Humans have no basic senses.,0,I'm 0% certain that,Humans have no basic senses.
515,I'm 0% certain that The scientific method is a random process for ignoring phenomena and losing knowledge.,0,I'm 0% certain that,The scientific method is a random process for ignoring phenomena and losing knowledge.
516,I'm 0% certain that Sunflowers follow the movement of the sun across the sky.,1,I'm 0% certain that,Sunflowers follow the movement of the sun across the sky.
517,I'm 0% certain that The only continent without any mountains is Asia.,0,I'm 0% certain that,The only continent without any mountains is Asia.
518,"I'm 0% certain that The primary colors of darkness are red, green, and blue.",0,I'm 0% certain that,"The primary colors of darkness are red, green, and blue."
519,I'm 0% certain that The Statue of Liberty is located in Paris.,0,I'm 0% certain that,The Statue of Liberty is located in Paris.
520,"I'm 0% certain that Our solar system consists of eight stars: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.",0,I'm 0% certain that,"Our solar system consists of eight stars: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune."
521,I'm 0% certain that The first successful human heart transplant was performed in 1967.,1,I'm 0% certain that,The first successful human heart transplant was performed in 1967.
522,I'm 0% certain that The electron configuration of an atom determines its physical properties.,0,I'm 0% certain that,The electron configuration of an atom determines its physical properties.
523,I'm 0% certain that The smallest planet in the solar system is Jupiter.,0,I'm 0% certain that,The smallest planet in the solar system is Jupiter.
524,I'm 0% certain that The sky is often clear when it's going to rain.,0,I'm 0% certain that,The sky is often clear when it's going to rain.
525,"I'm 0% certain that The human circulatory system is an open system consisting of the heart, air vessels, and air.",0,I'm 0% certain that,"The human circulatory system is an open system consisting of the heart, air vessels, and air."
526,I'm 0% certain that Human digestion begins in the hand and ends in the large intestine.,0,I'm 0% certain that,Human digestion begins in the hand and ends in the large intestine.
527,I'm 0% certain that The human digestive system breaks down food into nutrients.,1,I'm 0% certain that,The human digestive system breaks down food into nutrients.
528,"I'm 0% certain that The moon is a star, not a satellite.",0,I'm 0% certain that,"The moon is a star, not a satellite."
529,I'm 0% certain that Metamorphosis is a biological process in which an organism undergoes a significant change in form during its life cycle.,1,I'm 0% certain that,Metamorphosis is a biological process in which an organism undergoes a significant change in form during its life cycle.
530,I'm 0% certain that Radioactive decay occurs when unstable atomic nuclei release energy in the form of radiation.,1,I'm 0% certain that,Radioactive decay occurs when unstable atomic nuclei release energy in the form of radiation.
531,I'm 0% certain that Volcanic eruptions never destroy human homes.,0,I'm 0% certain that,Volcanic eruptions never destroy human homes.
532,I'm 0% certain that Gravity is the force that attracts objects with mass towards each other.,1,I'm 0% certain that,Gravity is the force that attracts objects with mass towards each other.
533,I'm 0% certain that The sun rises in the east and sets in the west.,1,I'm 0% certain that,The sun rises in the east and sets in the west.
534,I'm 0% certain that Friction is the force that resists motion between two surfaces in contact.,1,I'm 0% certain that,Friction is the force that resists motion between two surfaces in contact.
535,I'm 0% certain that The moon is made of broccoli.,0,I'm 0% certain that,The moon is made of broccoli.
536,I'm 0% certain that The Statue of Liberty was a gift from Canada.,0,I'm 0% certain that,The Statue of Liberty was a gift from Canada.
537,I'm 0% certain that The Mona Lisa was painted by Michelangelo.,0,I'm 0% certain that,The Mona Lisa was painted by Michelangelo.
538,"I'm 0% certain that Sharks are mammals, not fish.",0,I'm 0% certain that,"Sharks are mammals, not fish."
539,I'm 0% certain that The Earth's stillness on its axis causes day and night.,0,I'm 0% certain that,The Earth's stillness on its axis causes day and night.
540,"I'm 0% certain that The three states of matter are unicorn whispers, rainbow spaghetti, and moon cheese.",0,I'm 0% certain that,"The three states of matter are unicorn whispers, rainbow spaghetti, and moon cheese."
541,I'm 0% certain that The human body has blood.,1,I'm 0% certain that,The human body has blood.
542,I'm 0% certain that A group of wolves is called a pack.,1,I'm 0% certain that,A group of wolves is called a pack.
543,I'm 0% certain that Lightning is a discharge of static electricity.,1,I'm 0% certain that,Lightning is a discharge of static electricity.
544,I'm 0% certain that The planet Earth is the only planet known to support life.,1,I'm 0% certain that,The planet Earth is the only planet known to support life.
545,I'm 0% certain that Cars can travel faster than the speed of light.,0,I'm 0% certain that,Cars can travel faster than the speed of light.
546,I'm 0% certain that Mercury has no moons.,1,I'm 0% certain that,Mercury has no moons.
547,I'm 0% certain that The human body is approximately 60% water.,1,I'm 0% certain that,The human body is approximately 60% water.
548,I'm 0% certain that The largest fish in the world is the goldfish.,0,I'm 0% certain that,The largest fish in the world is the goldfish.
549,I'm 0% certain that The study of matter and its interactions with energy is called physics.,1,I'm 0% certain that,The study of matter and its interactions with energy is called physics.
550,I'm 0% certain that Water is essential for life.,1,I'm 0% certain that,Water is essential for life.
551,I'm 0% certain that The first successful powered flight was made by the Wright Brothers in 1903.,1,I'm 0% certain that,The first successful powered flight was made by the Wright Brothers in 1903.
552,I'm 0% certain that The study of non-living objects and their interactions with the environment is called biology.,0,I'm 0% certain that,The study of non-living objects and their interactions with the environment is called biology.
553,I'm 0% certain that Superconductors are materials that have no electrical resistance when cooled to certain temperatures.,1,I'm 0% certain that,Superconductors are materials that have no electrical resistance when cooled to certain temperatures.
554,"I'm 0% certain that The human respiratory system includes the trachea, bronchi, and lungs.",1,I'm 0% certain that,"The human respiratory system includes the trachea, bronchi, and lungs."
555,I'm 0% certain that The largest bird in the world is the sparrow.,0,I'm 0% certain that,The largest bird in the world is the sparrow.
556,"I'm 0% certain that The carbon cycle maintains the balance of carbon in Earth's atmosphere, oceans, and biosphere.",1,I'm 0% certain that,"The carbon cycle maintains the balance of carbon in Earth's atmosphere, oceans, and biosphere."
557,I'm 0% certain that Birds have feathers and wings.,1,I'm 0% certain that,Birds have feathers and wings.
558,I'm 0% certain that The Earth is the only planet in the solar system.,0,I'm 0% certain that,The Earth is the only planet in the solar system.
559,I'm 0% certain that A group of fish is called a school.,1,I'm 0% certain that,A group of fish is called a school.
560,I'm 0% certain that Ecosystems consist of living organisms and their physical environment.,1,I'm 0% certain that,Ecosystems consist of living organisms and their physical environment.
561,I'm 0% certain that The Amazon rainforest is home to minimal biodiversity.,0,I'm 0% certain that,The Amazon rainforest is home to minimal biodiversity.
562,I'm 0% certain that Rainbows form when light avoids water droplets.,0,I'm 0% certain that,Rainbows form when light avoids water droplets.
563,I'm 0% certain that The Great Wall of China is the longest wall in the world.,1,I'm 0% certain that,The Great Wall of China is the longest wall in the world.
564,I'm 0% certain that Oxygen is essential for respiration.,1,I'm 0% certain that,Oxygen is essential for respiration.
565,I'm 0% certain that The Grand Canyon is located in Europe.,0,I'm 0% certain that,The Grand Canyon is located in Europe.
566,I'm 0% certain that The Doppler effect causes the change in frequency or wavelength of a wave in relation to an observer.,1,I'm 0% certain that,The Doppler effect causes the change in frequency or wavelength of a wave in relation to an observer.
567,I'm 0% certain that Pizza is a type of food that no one likes.,0,I'm 0% certain that,Pizza is a type of food that no one likes.
568,I'm 0% certain that Gravity makes things fall down.,1,I'm 0% certain that,Gravity makes things fall down.
569,I'm 0% certain that The Earth's atmosphere is composed mostly of helium and carbon dioxide.,0,I'm 0% certain that,The Earth's atmosphere is composed mostly of helium and carbon dioxide.
570,I'm 0% certain that The Earth's atmosphere is composed mostly of nitrogen and oxygen.,1,I'm 0% certain that,The Earth's atmosphere is composed mostly of nitrogen and oxygen.
571,I'm 0% certain that Birds can fly.,1,I'm 0% certain that,Birds can fly.
572,I'm 0% certain that Chemical reactions involve the rearrangement of atoms to form new substances.,1,I'm 0% certain that,Chemical reactions involve the rearrangement of atoms to form new substances.
573,I'm 0% certain that The human body has 100 bones.,0,I'm 0% certain that,The human body has 100 bones.
574,I'm 0% certain that The Earth has one moon.,1,I'm 0% certain that,The Earth has one moon.
575,I'm 0% certain that Mars has a thick atmosphere.,0,I'm 0% certain that,Mars has a thick atmosphere.
576,I'm 0% certain that The strongest force in the universe is water.,0,I'm 0% certain that,The strongest force in the universe is water.
577,"I'm 0% certain that The human nervous system includes the brain, spinal cord, and nerves.",1,I'm 0% certain that,"The human nervous system includes the brain, spinal cord, and nerves."
578,I'm 0% certain that Atoms are the basic building blocks of matter.,1,I'm 0% certain that,Atoms are the basic building blocks of matter.
579,"I'm 0% certain that The three types of blood vessels in the human body are arteries, veins, and capillaries.",1,I'm 0% certain that,"The three types of blood vessels in the human body are arteries, veins, and capillaries."
580,"I'm 0% certain that The auroras, or polar lights, are natural light displays caused by the interaction of solar particles with Earth's magnetic field.",1,I'm 0% certain that,"The auroras, or polar lights, are natural light displays caused by the interaction of solar particles with Earth's magnetic field."
581,I'm 0% certain that Water is wet.,1,I'm 0% certain that,Water is wet.
582,I'm 0% certain that Humans have wings and can fly.,0,I'm 0% certain that,Humans have wings and can fly.
583,I'm 0% certain that The Earth's ozone layer protects us from harmful ultraviolet (UV) radiation from the sun.,1,I'm 0% certain that,The Earth's ozone layer protects us from harmful ultraviolet (UV) radiation from the sun.
584,I'm 0% certain that The largest reptile in the world is the mouse.,0,I'm 0% certain that,The largest reptile in the world is the mouse.
585,I'm 0% certain that The Panama Canal connects the Atlantic and Pacific oceans.,1,I'm 0% certain that,The Panama Canal connects the Atlantic and Pacific oceans.
586,I'm 0% certain that The human heart pumps blood throughout the body.,1,I'm 0% certain that,The human heart pumps blood throughout the body.
587,I'm 0% certain that Human digestion begins in the mouth and ends in the small intestine.,1,I'm 0% certain that,Human digestion begins in the mouth and ends in the small intestine.
588,"I'm 0% certain that The carbon cycle disrupts the balance of nitrogen in Earth's atmosphere, oceans, and biosphere.",0,I'm 0% certain that,"The carbon cycle disrupts the balance of nitrogen in Earth's atmosphere, oceans, and biosphere."
589,"I'm 0% certain that Jupiter has the Great Red Spot, a giant storm.",1,I'm 0% certain that,"Jupiter has the Great Red Spot, a giant storm."
590,I'm 0% certain that The color of the sky is blue.,1,I'm 0% certain that,The color of the sky is blue.
591,I'm 0% certain that Evolution occurs through the process of natural selection.,1,I'm 0% certain that,Evolution occurs through the process of natural selection.
592,I'm 0% certain that The human liver helps filter toxins from the body.,1,I'm 0% certain that,The human liver helps filter toxins from the body.
593,I'm 0% certain that The least abundant gas in Earth's atmosphere is nitrogen.,0,I'm 0% certain that,The least abundant gas in Earth's atmosphere is nitrogen.
594,I'm 0% certain that Saturn's smallest moon is Titan.,0,I'm 0% certain that,Saturn's smallest moon is Titan.
595,I'm 0% certain that The study of antimatter and its interactions with light energy is called anti-physics.,0,I'm 0% certain that,The study of antimatter and its interactions with light energy is called anti-physics.
596,I'm 0% certain that Pizza is a type of food that many people enjoy.,1,I'm 0% certain that,Pizza is a type of food that many people enjoy.
597,I'm 0% certain that The endocrine system disrupts body functions through electric pulses.,0,I'm 0% certain that,The endocrine system disrupts body functions through electric pulses.
598,I'm 0% certain that The circulatory system transports nutrients and oxygen throughout the body.,1,I'm 0% certain that,The circulatory system transports nutrients and oxygen throughout the body.
599,I'm 0% certain that The scientific name for plants is Homo sapiens.,0,I'm 0% certain that,The scientific name for plants is Homo sapiens.
600,I'm 0% certain that The Milky Way is a linear galaxy.,0,I'm 0% certain that,The Milky Way is a linear galaxy.
601,I'm 0% certain that Octopuses have three hearts.,1,I'm 0% certain that,Octopuses have three hearts.
602,I'm 0% certain that The Great Wall of China is located in South America.,0,I'm 0% certain that,The Great Wall of China is located in South America.
603,I'm 0% certain that The Sahara Desert is covered in snow and ice.,0,I'm 0% certain that,The Sahara Desert is covered in snow and ice.
604,I'm 0% certain that Penguins can fly.,0,I'm 0% certain that,Penguins can fly.
605,I'm 0% certain that The shortest month of the year is February.,1,I'm 0% certain that,The shortest month of the year is February.
606,I'm 0% certain that The largest unit of life is the cell.,0,I'm 0% certain that,The largest unit of life is the cell.
607,I'm 0% certain that Elephants are the smallest mammals in the world.,0,I'm 0% certain that,Elephants are the smallest mammals in the world.
608,I'm 0% certain that The largest mammal in the world is the mouse.,0,I'm 0% certain that,The largest mammal in the world is the mouse.
609,"I'm 0% certain that The theory of evolution, proposed by Charles Darwin, states that species evolve over time through natural selection.",1,I'm 0% certain that,"The theory of evolution, proposed by Charles Darwin, states that species evolve over time through natural selection."
610,"I'm 0% certain that The three main types of neurons are sensory neurons, motor neurons, and interneurons.",1,I'm 0% certain that,"The three main types of neurons are sensory neurons, motor neurons, and interneurons."
611,I'm 0% certain that The continent of Antarctica is mostly covered in ice.,1,I'm 0% certain that,The continent of Antarctica is mostly covered in ice.
612,I'm 0% certain that The largest tree in the world is a cactus.,0,I'm 0% certain that,The largest tree in the world is a cactus.
613,I'm 70% certain that The planet Uranus is tilted on its side.,1,I'm 70% certain that,The planet Uranus is tilted on its side.
614,I'm 70% certain that Sharks are sea creatures that have a reputation for being dangerous.,1,I'm 70% certain that,Sharks are sea creatures that have a reputation for being dangerous.
615,I'm 70% certain that An adult human has 32 teeth.,1,I'm 70% certain that,An adult human has 32 teeth.
616,I'm 70% certain that The smallest continent in the world is Australia.,1,I'm 70% certain that,The smallest continent in the world is Australia.
617,I'm 70% certain that The Amazon River is the largest river in the world by volume.,1,I'm 70% certain that,The Amazon River is the largest river in the world by volume.
618,"I'm 70% certain that The primary colors of light are red, green, and blue.",1,I'm 70% certain that,"The primary colors of light are red, green, and blue."
619,"I'm 70% certain that Gravity only affects living things, not inanimate objects.",0,I'm 70% certain that,"Gravity only affects living things, not inanimate objects."
620,I'm 70% certain that Dogs are known for being loyal pets.,1,I'm 70% certain that,Dogs are known for being loyal pets.
621,I'm 70% certain that The first Olympic Games were held in ancient Greece.,1,I'm 70% certain that,The first Olympic Games were held in ancient Greece.
622,I'm 70% certain that The human skin is the body's largest organ.,1,I'm 70% certain that,The human skin is the body's largest organ.
623,I'm 70% certain that The Mona Lisa is a famous painting by Leonardo da Vinci.,1,I'm 70% certain that,The Mona Lisa is a famous painting by Leonardo da Vinci.
624,I'm 70% certain that Ice floats on water due to its lower density.,1,I'm 70% certain that,Ice floats on water due to its lower density.
625,I'm 70% certain that The immune system defends the body against pathogens.,1,I'm 70% certain that,The immune system defends the body against pathogens.
626,I'm 70% certain that The largest lake in the world is located in Antarctica.,0,I'm 70% certain that,The largest lake in the world is located in Antarctica.
627,I'm 70% certain that The speed of light is higher than the speed of sound.,1,I'm 70% certain that,The speed of light is higher than the speed of sound.
628,I'm 70% certain that Cars need soap to run.,0,I'm 70% certain that,Cars need soap to run.
629,I'm 70% certain that Tornadoes are rapidly rotating columns of air.,1,I'm 70% certain that,Tornadoes are rapidly rotating columns of air.
630,I'm 70% certain that The highest waterfall in the world is Angel Falls in Venezuela.,1,I'm 70% certain that,The highest waterfall in the world is Angel Falls in Venezuela.
631,I'm 70% certain that Electromagnetic induction is the process by which a changing magnetic field generates an electric current.,1,I'm 70% certain that,Electromagnetic induction is the process by which a changing magnetic field generates an electric current.
632,I'm 70% certain that The human body has 12 pairs of legs.,0,I'm 70% certain that,The human body has 12 pairs of legs.
633,I'm 70% certain that The greenhouse effect influences Earth's temperature.,1,I'm 70% certain that,The greenhouse effect influences Earth's temperature.
634,I'm 70% certain that Comets are fiery celestial objects that avoid the Sun.,0,I'm 70% certain that,Comets are fiery celestial objects that avoid the Sun.
635,I'm 70% certain that Seasons are caused by Earth's constant alignment.,0,I'm 70% certain that,Seasons are caused by Earth's constant alignment.
636,I'm 70% certain that The human eye can detect light wavelengths.,1,I'm 70% certain that,The human eye can detect light wavelengths.
637,I'm 70% certain that Broccoli is a popular dessert.,0,I'm 70% certain that,Broccoli is a popular dessert.
638,I'm 70% certain that Apples are a type of fruit.,1,I'm 70% certain that,Apples are a type of fruit.
639,I'm 70% certain that Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle.,0,I'm 70% certain that,Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle.
640,"I'm 70% certain that The three types of rocks are igneous, sedimentary, and metamorphic.",1,I'm 70% certain that,"The three types of rocks are igneous, sedimentary, and metamorphic."
641,I'm 70% certain that The largest continent in the world is Asia.,1,I'm 70% certain that,The largest continent in the world is Asia.
642,I'm 70% certain that The periodic table organizes elements based on their properties.,1,I'm 70% certain that,The periodic table organizes elements based on their properties.
643,I'm 70% certain that The immune system attacks the body with pathogens.,0,I'm 70% certain that,The immune system attacks the body with pathogens.
644,I'm 70% certain that The scientific method is a process for testing hypotheses and acquiring knowledge.,1,I'm 70% certain that,The scientific method is a process for testing hypotheses and acquiring knowledge.
645,I'm 70% certain that The study of spontaneity and the variation of non-inherited characteristics is called genetics.,0,I'm 70% certain that,The study of spontaneity and the variation of non-inherited characteristics is called genetics.
646,I'm 70% certain that The process of aging is not influenced by genetic or environmental factors.,0,I'm 70% certain that,The process of aging is not influenced by genetic or environmental factors.
647,I'm 70% certain that The human brain controls the body's functions.,1,I'm 70% certain that,The human brain controls the body's functions.
648,I'm 70% certain that The Great Sphinx of Giza is an ancient statue in Egypt.,1,I'm 70% certain that,The Great Sphinx of Giza is an ancient statue in Egypt.
649,I'm 70% certain that Plate tectonics smooth the Earth's surface.,0,I'm 70% certain that,Plate tectonics smooth the Earth's surface.
650,I'm 70% certain that The planet Jupiter has many moons.,1,I'm 70% certain that,The planet Jupiter has many moons.
651,I'm 70% certain that The shortest distance between two points is a curve.,0,I'm 70% certain that,The shortest distance between two points is a curve.
